Length	Count	sample
17	1130224.0	ERS185403
18	1610992.0	ERS185403
19	794987.0	ERS185403
20	750439.0	ERS185403
21	831460.0	ERS185403
22	1821982.0	ERS185403
23	1343802.0	ERS185403
24	1085337.0	ERS185403
25	676642.0	ERS185403
26	788832.0	ERS185403
27	843308.0	ERS185403
28	367616.0	ERS185403
17	167962.0	ERS185400
18	257486.0	ERS185400
19	289885.0	ERS185400
20	386443.0	ERS185400
21	540946.0	ERS185400
22	1163255.0	ERS185400
23	1286449.0	ERS185400
24	1073468.0	ERS185400
25	928345.0	ERS185400
26	951667.0	ERS185400
27	1044012.0	ERS185400
28	713233.0	ERS185400
17	1545404.0	ERS185470
18	1815439.0	ERS185470
19	1167332.0	ERS185470
20	950405.0	ERS185470
21	945805.0	ERS185470
22	1488387.0	ERS185470
23	1262192.0	ERS185470
24	1217844.0	ERS185470
25	950742.0	ERS185470
26	914279.0	ERS185470
27	821450.0	ERS185470
28	490137.0	ERS185470
17	5322419.0	ERS185082
18	7327067.0	ERS185082
19	3829633.0	ERS185082
20	3260805.0	ERS185082
21	3434350.0	ERS185082
22	6084734.0	ERS185082
23	7069528.0	ERS185082
24	3966446.0	ERS185082
25	3144202.0	ERS185082
26	2936109.0	ERS185082
27	3257619.0	ERS185082
28	1877421.0	ERS185082
17	1935093.0	ERS185252
18	2426732.0	ERS185252
19	1825675.0	ERS185252
20	1464398.0	ERS185252
21	1563695.0	ERS185252
22	2288341.0	ERS185252
23	1899772.0	ERS185252
24	1640163.0	ERS185252
25	1190773.0	ERS185252
26	1508269.0	ERS185252
27	1657835.0	ERS185252
28	907602.0	ERS185252
17	3315518.0	ERS185036
18	4033631.0	ERS185036
19	2789762.0	ERS185036
20	2002947.0	ERS185036
21	2080036.0	ERS185036
22	3036753.0	ERS185036
23	2679490.0	ERS185036
24	2219982.0	ERS185036
25	1746084.0	ERS185036
26	1722493.0	ERS185036
27	1948874.0	ERS185036
28	914467.0	ERS185036
17	1004160.0	ERS185125
18	1178553.0	ERS185125
19	605792.0	ERS185125
20	600953.0	ERS185125
21	611863.0	ERS185125
22	1368698.0	ERS185125
23	1268489.0	ERS185125
24	845366.0	ERS185125
25	565938.0	ERS185125
26	731804.0	ERS185125
27	801987.0	ERS185125
28	335717.0	ERS185125
17	3878739.0	ERS185102
18	4968130.0	ERS185102
19	3950343.0	ERS185102
20	3272323.0	ERS185102
21	3125505.0	ERS185102
22	3874407.0	ERS185102
23	3926265.0	ERS185102
24	4038626.0	ERS185102
25	3814971.0	ERS185102
26	2666327.0	ERS185102
27	2618069.0	ERS185102
28	2061053.0	ERS185102
17	935619.0	ERS185473
18	1185185.0	ERS185473
19	678941.0	ERS185473
20	593333.0	ERS185473
21	645927.0	ERS185473
22	1308001.0	ERS185473
23	1067085.0	ERS185473
24	892989.0	ERS185473
25	575551.0	ERS185473
26	685791.0	ERS185473
27	750323.0	ERS185473
28	337865.0	ERS185473
17	3610575.0	ERS185068
18	5077349.0	ERS185068
19	3091496.0	ERS185068
20	2705687.0	ERS185068
21	2871922.0	ERS185068
22	4005448.0	ERS185068
23	3922969.0	ERS185068
24	3146479.0	ERS185068
25	2666480.0	ERS185068
26	3394883.0	ERS185068
27	4126415.0	ERS185068
28	2346846.0	ERS185068
